"ENTITY","CORRELATIONID","REQUESTPAYLOAD","SOURCEAPPLICATION","ENDPOINT","STATUS","REPROCESSFLAG","ERRORTYPE","CREATEDBY","CREATEDDATE","UPDATEDBY","UPDATEDDATE","ERRORID","MSG_SIZE"
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:34:39.475000000 PM,"SA_OIC_INT_USER",04-07-23 7:34:39.475000000 PM,"44442604",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 8:12:51.081000000 PM,"SA_OIC_INT_USER",04-07-23 8:12:51.081000000 PM,"44847447",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 7:35:45.575000000 PM,"SA_OIC_INT_USER",04-07-23 7:35:45.575000000 PM,"44700710",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 8:01:28.069000000 PM,"SA_OIC_INT_USER",04-07-23 8:01:28.069000000 PM,"44702111",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 8:13:28.152000000 PM,"SA_OIC_INT_USER",04-07-23 8:13:28.152000000 PM,"44702782",0.0016
"Stock Transfer Shipment","19da33d753838be418c135e97bd34631","{
  ""correlation_id"" : ""19da33d753838be418c135e97bd34631"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : null,
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02260-140623"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97750*140623"",
      ""TransactionDate"" : ""2023-06-14T12:17:42Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -3.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 13.23
      }, {
        ""OrderLineNumber"" : ""2"",
        ""ProductNumber"" : ""250294"",
        ""Quantity"" : -4.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 20.54
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",04-07-23 8:13:57.838000000 PM,"SA_OIC_INT_USER",04-07-23 8:13:57.838000000 PM,"44444782",0.0016
"Stock Transfer Shipment","058b203f8a59d75669924d0ff8cbd991","{
  ""correlation_id"" : ""058b203f8a59d75669924d0ff8cbd991"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : ""2023-07-04T20:05:08.095Z"",
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02470-040723"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97940*040723"",
      ""TransactionDate"" : ""2023-07-04T15:23:17Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -2.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 8.82
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",06-07-23 12:37:06.681000000 AM,"SA_OIC_INT_USER",06-07-23 12:37:06.681000000 AM,"45406570",0.0014
"Stock Transfer Shipment","058b203f8a59d75669924d0ff8cbd991","{
  ""correlation_id"" : ""058b203f8a59d75669924d0ff8cbd991"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : ""2023-07-04T20:05:08.095Z"",
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02470-040723"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97940*040723"",
      ""TransactionDate"" : ""2023-07-04T15:23:17Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -2.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 8.82
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",05-07-23 11:18:06.133000000 PM,"SA_OIC_INT_USER",05-07-23 11:18:06.133000000 PM,"45404914",0.0014
"Stock Transfer Shipment","058b203f8a59d75669924d0ff8cbd991","{
  ""correlation_id"" : ""058b203f8a59d75669924d0ff8cbd991"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : ""2023-07-04T20:05:08.095Z"",
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02470-040723"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97940*040723"",
      ""TransactionDate"" : ""2023-07-04T15:23:17Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -2.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 8.82
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",05-07-23 11:21:32.033000000 PM,"SA_OIC_INT_USER",05-07-23 11:21:32.033000000 PM,"45230212",0.0014
"Stock Transfer Shipment","058b203f8a59d75669924d0ff8cbd991","{
  ""correlation_id"" : ""058b203f8a59d75669924d0ff8cbd991"",
  ""entity_name"" : ""Stock Transfer Shipment"",
  ""source_name"" : ""POS"",
  ""EntitySubType"" : ""Stock Transfer Shipment"",
  ""receipt_request_payload"" : {
    ""ReceiptHeader"" : {
      ""EntitySubType"" : null,
      ""ReceiptNumber"" : null,
      ""RMANumber"" : null,
      ""OrganizationCode"" : null,
      ""ShipmentNumber"" : null,
      ""SupplierNumber"" : null,
      ""SupplierName"" : null,
      ""SupplierSiteCode"" : null,
      ""BusinessUnit"" : null,
      ""TransactionDate"" : ""2023-07-04T20:05:08.095Z"",
      ""SupplierDeliveryNoteNumber"" : null
    }
  },
  ""shipment_request_payload"" : {
    ""ShipmentHeader"" : {
      ""EntitySubType"" : ""Stock Transfer Shipment"",
      ""OrderNumber"" : ""1101-G02470-040723"",
      ""OrganizationCode"" : ""4832"",
      ""TransferOrganizationCode"" : ""1101"",
      ""Type"" : ""5"",
      ""OrderType"" : null,
      ""ShipmentNumber"" : ""4832*M97940*040723"",
      ""TransactionDate"" : ""2023-07-04T15:23:17Z"",
      ""ShipmentDate"" : null,
      ""VehicleNumber"" : null,
      ""ShipmentLines"" : [ {
        ""OrderLineNumber"" : ""1"",
        ""ProductNumber"" : ""846581"",
        ""Quantity"" : -2.0,
        ""UOM"" : ""BG"",
        ""SourceSubinventoryCode"" : null,
        ""TransferSubinventoryCode"" : null,
        ""ShipmentLineNumber"" : null,
        ""SourceLineId"" : null,
        ""TransferPrice"" : 8.82
      } ]
    }
  }
}","POS","https://oicpresit-lryvyc8dxstj-ld.integration.ocp.oraclecloud.com:443/ic/api/integration/v1/flows/rest/STOCKTRANSFERBS/1.0/inventory/manageStockTransfer","NEW","N","Business","SA_OIC_INT_USER",06-07-23 1:16:42.158000000 AM,"SA_OIC_INT_USER",06-07-23 1:16:42.158000000 AM,"44582688",0.0014
